requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
25,0,0,0,0,185785,2317717,215,26,30
25,0,0,0,0,179297,2317717,214,23,27
25,0,0,0,0,185146,2317717,215,22,26
25,0,0,0,0,183002,2317717,214,24,28
25,0,0,0,0,202928,2317717,215,23,27
25,0,0,0,0,191635,2317717,215,25,28
25,0,0,0,0,181320,2317717,214,24,28
25,0,0,0,0,204667,2317717,215,24,28
25,0,0,0,0,197655,2317717,215,25,29
25,0,0,0,0,194992,2317717,214,24,28
25,0,0,0,0,191801,2317885,218,26,31
25,0,0,0,0,278890,2317717,217,24,29
25,0,0,0,0,163135,2317717,215,23,26
25,0,0,0,0,186131,2317717,214,24,28
25,0,0,0,0,175242,2317717,215,25,29
25,0,0,0,0,183697,2317717,214,24,28
25,0,0,0,0,204256,2317717,215,23,27
25,0,0,0,0,210744,2317717,215,25,28
25,0,0,0,0,197138,2317717,215,24,28
25,0,0,0,0,196961,2317717,215,24,27
25,0,0,0,0,69589,2317717,223,24,28
25,0,0,0,0,189724,2317717,214,23,27
25,0,0,0,0,178366,2317717,217,23,27
25,0,0,0,0,206631,2317717,215,22,26
25,0,0,0,0,208547,2317717,214,22,26
25,0,0,0,0,187982,2317717,214,25,29
25,0,0,0,0,198640,2317717,214,24,27
25,0,0,0,0,172808,2317717,215,25,28
25,0,0,0,0,195282,2317717,215,23,26
25,0,0,0,0,191403,2317717,215,22,27
25,0,0,0,0,170952,2317717,215,24,28
25,0,0,0,0,190185,2317717,214,22,26
25,0,0,0,0,200785,2317717,215,23,27
25,0,0,0,0,202234,2317717,214,23,27
25,0,0,0,0,232114,2317717,215,24,28
25,0,0,0,0,174952,2317717,215,23,27
25,0,0,0,0,182479,2317717,214,24,28
25,0,0,0,0,188273,2317717,214,23,27
25,0,0,0,0,175939,2317717,214,21,25
25,0,0,0,0,192153,2317717,214,24,28
25,0,0,0,0,214736,2317717,216,24,27
25,0,0,0,0,192618,2317717,215,22,25
25,0,0,0,0,202985,2317717,217,23,26
25,0,0,0,0,188968,2317717,214,28,31
25,0,0,0,0,183934,2317717,214,23,27
25,0,0,0,0,182249,2317717,214,24,27
25,0,0,0,0,237263,2317717,215,23,26
25,0,0,0,0,185322,2317717,215,23,27
25,0,0,0,0,173505,2317717,213,25,29
25,0,0,0,0,184162,2317717,214,23,26
