requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
9,0,0,0,0,45460,2312407,216,23,24
9,0,0,0,0,32195,2312407,215,23,25
9,0,0,0,0,35324,2312407,215,24,26
9,0,0,0,0,33876,2312407,215,23,24
9,0,0,0,0,31962,2312407,215,22,23
9,0,0,0,0,31213,2312407,215,22,24
9,0,0,0,0,39901,2312407,217,22,24
9,0,0,0,0,41116,2312407,215,25,26
9,0,0,0,0,20844,2312407,216,25,27
9,0,0,0,0,33876,2312407,215,22,24
9,0,0,0,0,32195,2312407,215,22,23
9,0,0,0,0,30747,2312407,216,23,25
9,0,0,0,0,48123,2312407,216,22,23
9,0,0,0,0,37987,2312407,216,22,24
9,0,0,0,0,44245,2312407,216,23,24
9,0,0,0,0,32428,2312407,214,24,25
9,0,0,0,0,36539,2312407,215,22,24
9,0,0,0,0,30980,2312407,216,24,26
9,0,0,0,0,36539,2312407,217,23,25
9,0,0,0,0,30980,2312407,215,23,25
9,0,0,0,0,30747,2312407,215,26,28
9,0,0,0,0,39435,2312407,215,22,24
9,0,0,0,0,46908,2312407,216,29,31
9,0,0,0,0,41116,2312407,214,23,24
9,0,0,0,0,49105,2312407,216,23,25
9,0,0,0,0,29532,2312407,215,22,24
9,0,0,0,0,29532,2312407,215,22,24
9,0,0,0,0,35557,2312407,215,24,26
9,0,0,0,0,39668,2312407,215,24,26
9,0,0,0,0,35557,2312407,215,24,26
9,0,0,0,0,31213,2312407,216,23,25
9,0,0,0,0,40883,2312407,216,24,25
9,0,0,0,0,38453,2312407,215,23,25
9,0,0,0,0,35324,2312407,215,25,26
9,0,0,0,0,33643,2312407,215,23,25
9,0,0,0,0,51019,2312407,216,23,25
9,0,0,0,0,32195,2312407,216,24,26
9,0,0,0,0,35091,2312407,215,22,24
9,0,0,0,0,32195,2312407,214,25,27
9,0,0,0,0,35557,2312407,215,24,26
9,0,0,0,0,32661,2312407,216,24,25
9,0,0,0,0,37005,2312407,215,24,26
9,0,0,0,0,45460,2312407,216,22,24
9,0,0,0,0,33643,2312407,216,23,25
9,0,0,0,0,36306,2312407,215,24,26
9,0,0,0,0,34858,2312407,215,25,27
9,0,0,0,0,35324,2312407,215,24,26
9,0,0,0,0,35557,2312407,215,22,24
9,0,0,0,0,60396,2312407,216,25,27
9,0,0,0,0,27618,2312407,216,24,25
