requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
13,0,0,0,0,80031,2314764,216,22,26
13,0,0,0,0,69895,2314764,216,23,27
13,0,0,0,0,84608,2314764,216,24,27
13,0,0,0,0,72092,2314764,215,24,27
13,0,0,0,0,84142,2314764,217,23,27
13,0,0,0,0,75920,2314764,217,25,29
13,0,0,0,0,78350,2314764,216,23,26
13,0,0,0,0,83393,2314764,216,24,27
13,0,0,0,0,64103,2314764,215,23,26
13,0,0,0,0,72558,2314764,215,24,28
13,0,0,0,0,74472,2314764,217,22,26
13,0,0,0,0,75687,2314764,217,25,28
13,0,0,0,0,67232,2314764,217,23,26
13,0,0,0,0,65551,2314764,216,23,27
13,0,0,0,0,92314,2314764,216,24,28
13,0,0,0,0,70361,2314764,217,25,28
13,0,0,0,0,96658,2314764,216,23,27
13,0,0,0,0,68913,2314764,215,23,26
13,0,0,0,0,70128,2314764,216,24,28
13,0,0,0,0,70128,2314764,215,23,27
13,0,0,0,0,75454,2314764,216,23,27
13,0,0,0,0,69895,2314764,215,24,27
13,0,0,0,0,91848,2314764,216,23,27
13,0,0,0,0,43881,2314764,217,23,26
13,0,0,0,0,75454,2314764,216,26,30
13,0,0,0,0,73307,2314764,216,23,27
13,0,0,0,0,79565,2314764,216,24,28
13,0,0,0,0,59526,2314764,219,25,28
13,0,0,0,0,83393,2314764,217,23,26
13,0,0,0,0,66250,2314764,215,23,26
13,0,0,0,0,81479,2314764,216,23,27
13,0,0,0,0,77601,2314764,216,24,27
13,0,0,0,0,87737,2314764,216,23,27
13,0,0,0,0,71576,2314764,216,22,25
13,0,0,0,0,53268,2314764,217,26,29
13,0,0,0,0,71343,2314764,215,24,28
13,0,0,0,0,61440,2314764,216,23,27
13,0,0,0,0,68447,2314764,215,23,26
13,0,0,0,0,65551,2314764,215,23,26
13,0,0,0,0,77601,2314764,216,24,27
13,0,0,0,0,87737,2314764,217,22,26
13,0,0,0,0,72042,2314764,216,24,28
13,0,0,0,0,83626,2314764,215,22,25
13,0,0,0,0,55931,2314764,226,22,26
13,0,0,0,0,71343,2314764,216,25,28
13,0,0,0,0,69895,2314764,216,23,27
13,0,0,0,0,77135,2314764,217,25,28
13,0,0,0,0,63404,2314764,216,22,26
13,0,0,0,0,71576,2314764,216,23,26
13,0,0,0,0,72042,2314764,216,24,27
