requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
6,0,0,0,0,95606,9876373,855,24,31
6,0,0,0,0,113960,9876373,857,24,31
6,0,0,0,0,83768,9876373,855,24,31
6,0,0,0,0,97054,9876373,855,24,31
6,0,0,0,0,104040,9876373,855,23,31
6,0,0,0,0,113960,9876373,856,22,30
6,0,0,0,0,105742,9876373,855,23,31
6,0,0,0,0,11622,9876373,861,25,32
6,0,0,0,0,127227,9876373,855,23,30
6,0,0,0,0,108403,9876373,855,24,31
6,0,0,0,0,98502,9876373,855,23,31
6,0,0,0,0,115859,9876373,855,23,30
6,0,0,0,0,94158,9876373,855,24,31
6,0,0,0,0,96584,9876373,856,21,29
6,0,0,0,0,99715,9876373,861,23,30
6,0,0,0,0,110086,9876373,855,24,32
6,0,0,0,0,110086,9876373,854,24,31
6,0,0,0,0,92710,9876373,858,21,28
6,0,0,0,0,108403,9876373,855,24,32
6,0,0,0,0,99715,9876373,855,24,31
6,0,0,0,0,96565,9876373,856,22,29
6,0,0,0,0,114411,9876373,855,23,31
6,0,0,0,0,104294,9876373,855,24,31
6,0,0,0,0,124331,9876373,855,23,30
6,0,0,0,0,102846,9876373,855,23,31
6,0,0,0,0,107190,9876373,859,24,32
6,0,0,0,0,110067,9876373,855,23,31
6,0,0,0,0,73886,9876373,856,25,32
6,0,0,0,0,114430,9876373,855,22,30
6,0,0,0,0,32853,9876373,877,40,51
6,0,0,0,0,107190,9876373,855,23,30
6,0,0,0,0,99715,9876373,859,23,31
6,0,0,0,0,118539,9876373,855,26,33
6,0,0,0,0,111534,9876373,855,23,30
6,0,0,0,0,117091,9876373,855,26,34
6,0,0,0,0,147499,9876373,855,26,33
6,0,0,0,0,208550,9876373,856,25,33
6,0,0,0,0,120222,9876373,856,34,42
6,0,0,0,0,118774,9876373,855,24,30
6,0,0,0,0,86664,9876373,854,23,30
6,0,0,0,0,109851,9876373,855,23,30
6,0,0,0,0,133000,9876373,855,27,34
6,0,0,0,0,117326,9876373,856,28,35
6,0,0,0,0,112728,9876373,856,25,32
6,0,0,0,0,128675,9876373,857,23,30
6,0,0,0,0,94158,9876373,855,26,33
6,0,0,0,0,107190,9876373,855,22,30
6,0,0,0,0,117072,9876373,858,21,29
6,0,0,0,0,112982,9876373,855,25,33
6,0,0,0,0,105507,9876373,855,24,31
