requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
26,0,0,0,0,373010,9876377,862,22,41
26,0,0,0,0,329953,9876377,867,23,43
26,0,0,0,0,297631,9876377,922,24,44
26,0,0,0,0,284599,9876377,866,23,42
26,0,0,0,0,296113,9876377,2078,23,43
26,0,0,0,0,354489,9876377,866,23,42
26,0,0,0,0,352928,9876377,868,23,43
26,0,0,0,0,390273,9876377,865,27,47
26,0,0,0,0,430231,9876377,865,23,43
26,0,0,0,0,307767,9876377,864,24,44
26,0,0,0,0,374072,9876377,866,24,44
26,0,0,0,0,302198,9876377,869,22,43
26,0,0,0,0,281703,9876377,865,24,43
26,0,0,0,0,378416,9876377,867,23,42
26,0,0,0,0,381535,9876377,867,24,44
26,0,0,0,0,290391,9876377,866,24,44
26,0,0,0,0,335502,9876377,866,23,42
26,0,0,0,0,371176,9876377,1098,23,43
26,0,0,0,0,413078,9876377,865,23,43
26,0,0,0,0,349223,9876377,978,23,42
26,0,0,0,0,328039,9876377,1087,25,45
26,0,0,0,0,377880,9876377,865,25,45
26,0,0,0,0,301742,9876377,865,23,43
26,0,0,0,0,286513,9876377,867,25,44
26,0,0,0,0,299069,9876377,866,24,44
26,0,0,0,0,298380,9876377,867,23,43
26,0,0,0,0,299079,9876377,868,22,42
26,0,0,0,0,305094,9876377,868,23,43
26,0,0,0,0,326521,9876377,1389,23,42
26,0,0,0,0,308223,9876377,865,25,46
26,0,0,0,0,371409,9876377,866,23,43
26,0,0,0,0,316455,9876377,866,25,45
26,0,0,0,0,318582,9876377,867,24,43
26,0,0,0,0,332130,9876377,866,23,44
26,0,0,0,0,332150,9876377,866,24,44
26,0,0,0,0,352352,9876377,867,24,43
26,0,0,0,0,283900,9876377,865,22,42
26,0,0,0,0,336191,9876377,1213,22,41
26,0,0,0,0,331624,9876377,867,24,43
26,0,0,0,0,328961,9876377,864,23,43
26,0,0,0,0,345628,9876377,868,24,44
26,0,0,0,0,279556,9876377,866,23,42
26,0,0,0,0,308000,9876377,1028,23,43
26,0,0,0,0,316658,9876377,873,23,42
26,0,0,0,0,324820,9876377,868,22,41
26,0,0,0,0,367521,9876377,866,23,42
26,0,0,0,0,323169,9876377,866,25,44
26,0,0,0,0,331158,9876377,866,24,44
26,0,0,0,0,267922,9876377,868,23,42
26,0,0,0,0,355481,9876377,867,24,44
