requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
22,0,0,0,0,346946,9876377,861,23,40
22,0,0,0,0,281450,9876377,1003,24,42
22,0,0,0,0,253898,9876377,867,23,40
22,0,0,0,0,274463,9876377,866,23,41
22,0,0,0,0,269370,9876377,865,25,43
22,0,0,0,0,317074,9876377,865,23,40
22,0,0,0,0,295880,9876377,865,23,40
22,0,0,0,0,286047,9876377,866,25,43
22,0,0,0,0,254657,9876377,866,23,40
22,0,0,0,0,292751,9876377,866,24,41
22,0,0,0,0,333002,9876377,866,22,40
22,0,0,0,0,257786,9876377,865,27,44
22,0,0,0,0,294442,9876377,864,26,43
22,0,0,0,0,271274,9876377,865,24,41
22,0,0,0,0,260682,9876377,865,23,40
22,0,0,0,0,305773,9876377,866,24,41
22,0,0,0,0,271800,9876377,865,22,39
22,0,0,0,0,299048,9876377,863,25,42
22,0,0,0,0,290098,9876377,868,22,39
22,0,0,0,0,353487,9876377,867,22,39
22,0,0,0,0,306938,9876377,866,22,39
22,0,0,0,0,292984,9876377,865,25,41
22,0,0,0,0,225231,9876377,866,23,40
22,0,0,0,0,308679,9876377,864,23,40
22,0,0,0,0,358297,9876377,865,25,41
22,0,0,0,0,306482,9876377,865,23,40
22,0,0,0,0,247417,9876377,865,23,40
22,0,0,0,0,337792,9876377,866,24,41
22,0,0,0,0,328252,9876377,1368,25,43
22,0,0,0,0,187400,9876377,871,23,39
22,0,0,0,0,307231,9876377,867,24,41
22,0,0,0,0,300973,9876377,865,24,41
22,0,0,0,0,307920,9876377,867,23,40
22,0,0,0,0,296183,9876377,865,24,41
22,0,0,0,0,278504,9876377,865,27,44
22,0,0,0,0,259224,9876377,866,23,41
22,0,0,0,0,284762,9876377,865,23,39
22,0,0,0,0,304791,9876377,865,23,40
22,0,0,0,0,264540,9876377,865,25,42
22,0,0,0,0,280721,9876377,865,23,40
22,0,0,0,0,283151,9876377,865,23,41
22,0,0,0,0,281926,9876377,869,24,41
22,0,0,0,0,329640,9876377,863,23,40
22,0,0,0,0,303403,9876377,865,24,42
22,0,0,0,0,252743,9876377,866,22,39
22,0,0,0,0,300760,9876377,865,23,41
22,0,0,0,0,273471,9876377,1090,24,41
22,0,0,0,0,309671,9876377,865,24,40
22,0,0,0,0,309661,9876377,865,25,42
22,0,0,0,0,301895,9876377,1289,23,40
