requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
1,0,0,0,0,335936,9738757,1502,35,1529
1,0,0,0,0,282360,9738757,1439,35,1468
1,0,0,0,0,328696,9738757,1464,33,1491
1,0,0,0,0,273672,9738757,1451,33,1477
1,0,0,0,0,334488,9738757,1441,34,1468
1,0,0,0,0,264984,9738757,1385,32,1412
1,0,0,0,0,373584,9738757,1415,39,1448
1,0,0,0,0,301184,9738757,1414,36,1444
1,0,0,0,0,320164,9738757,1406,33,1432
1,0,0,0,0,299736,9738757,1425,34,1453
1,0,0,0,0,330144,9738757,1406,34,1433
1,0,0,0,0,262088,9738757,1405,31,1431
1,0,0,0,0,334488,9738757,1428,34,1454
1,0,0,0,0,289600,9738757,1363,34,1391
1,0,0,0,0,333040,9738757,1436,34,1464
1,0,0,0,0,285256,9738757,1422,33,1449
1,0,0,0,0,338832,9738757,1416,35,1444
1,0,0,0,0,296840,9738757,1402,34,1430
1,0,0,0,0,340280,9738757,1449,35,1477
1,0,0,0,0,309872,9738757,1422,36,1451
1,0,0,0,0,428608,9738757,1438,42,1465
1,0,0,0,0,270776,9738757,1416,32,1442
1,0,0,0,0,332820,9738757,1437,35,1465
1,0,0,0,0,282360,9738757,1407,33,1434
1,0,0,0,0,327248,9738757,1418,34,1445
1,0,0,0,0,273672,9738757,1414,33,1441
1,0,0,0,0,333040,9738757,1423,34,1452
1,0,0,0,0,279464,9738757,1416,33,1442
1,0,0,0,0,341728,9738757,1413,35,1440
1,0,0,0,0,292496,9738757,1415,33,1441
1,0,0,0,0,338832,9738757,1428,36,1457
1,0,0,0,0,273672,9738757,1412,33,1439
1,0,0,0,0,351864,9738757,1454,36,1482
1,0,0,0,0,286704,9738757,1396,33,1423
1,0,0,0,0,334488,9738757,1438,35,1466
1,0,0,0,0,291048,9738757,1415,34,1442
1,0,0,0,0,327248,9738757,1432,34,1459
1,0,0,0,0,291048,9738757,1384,34,1412
1,0,0,0,0,337384,9738757,1453,35,1481
1,0,0,0,0,308424,9738757,1423,36,1452
1,0,0,0,0,328696,9738757,1468,34,1496
1,0,0,0,0,288152,9738757,1441,34,1468
1,0,0,0,0,322684,9738757,1443,34,1470
1,0,0,0,0,251952,9738757,1410,31,1435
1,0,0,0,0,344404,9738757,1580,36,1607
1,0,0,0,0,295392,9738757,1424,35,1453
1,0,0,0,0,315664,9738757,1429,33,1455
1,0,0,0,0,276568,9738757,1445,33,1472
1,0,0,0,0,328696,9738757,1419,34,1447
1,0,0,0,0,289600,9738757,1420,34,1448
