requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
26,0,0,0,0,357240,3419500,304,25,44
26,0,0,0,0,323986,3419500,303,23,43
26,0,0,0,0,426208,3419500,303,22,42
26,0,0,0,0,386879,3419500,301,23,42
26,0,0,0,0,364530,3419500,302,28,49
26,0,0,0,0,447695,3419500,302,23,43
26,0,0,0,0,393886,3419500,722,23,43
26,0,0,0,0,419727,3419500,304,28,50
26,0,0,0,0,474894,3419500,303,38,59
26,0,0,0,0,363488,3419500,305,23,43
26,0,0,0,0,356005,3419500,302,24,44
26,0,0,0,0,305961,3419500,317,24,43
26,0,0,0,0,326709,3419500,303,22,41
26,0,0,0,0,586058,3419500,303,28,65
26,0,0,0,0,414754,3419500,305,29,52
26,0,0,0,0,395860,3419500,302,24,44
26,0,0,0,0,407454,3419500,302,24,44
26,0,0,0,0,316230,3419500,304,24,43
26,0,0,0,0,386180,3419500,302,22,41
26,0,0,0,0,307775,3419500,305,24,43
26,0,0,0,0,358212,3419500,302,23,43
26,0,0,0,0,387688,3419500,302,25,44
26,0,0,0,0,390088,3419500,303,23,43
26,0,0,0,0,383750,3419500,303,22,42
26,0,0,0,0,338243,3419500,303,24,44
26,0,0,0,0,323237,3419500,303,23,41
26,0,0,0,0,369959,3419500,303,25,44
26,0,0,0,0,436344,3419500,304,24,45
26,0,0,0,0,415606,3419500,302,23,43
26,0,0,0,0,369806,3419500,303,24,44
26,0,0,0,0,347863,3419500,303,23,43
26,0,0,0,0,349767,3419500,303,21,41
26,0,0,0,0,374606,3419500,304,22,41
26,0,0,0,0,410613,3419500,302,23,43
26,0,0,0,0,422896,3419500,303,23,43
26,0,0,0,0,389319,3419500,304,24,46
26,0,0,0,0,320108,3419500,303,26,45
26,0,0,0,0,399911,3419500,721,23,43
26,0,0,0,0,318144,3419500,303,24,44
26,0,0,0,0,354567,3419500,726,23,43
26,0,0,0,0,364247,3419500,303,25,45
26,0,0,0,0,370615,3419500,303,23,42
26,0,0,0,0,339184,3419500,303,22,42
26,0,0,0,0,344541,3419500,305,23,43
26,0,0,0,0,388377,3419500,305,23,43
26,0,0,0,0,318670,3419500,302,23,42
26,0,0,0,0,370029,3419500,303,24,43
26,0,0,0,0,341079,3419500,302,24,43
26,0,0,0,0,391000,3419500,303,23,43
26,0,0,0,0,358911,3419500,303,22,42
