requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
18,0,0,0,0,284304,3419500,307,24,39
18,0,0,0,0,253966,3419500,306,23,37
18,0,0,0,0,228661,3419500,307,24,39
18,0,0,0,0,295422,3419500,306,25,40
18,0,0,0,0,277134,3419500,307,24,40
18,0,0,0,0,212510,3419500,306,24,39
18,0,0,0,0,294207,3419500,306,23,38
18,0,0,0,0,266066,3419500,305,24,39
18,0,0,0,0,259758,3419500,306,24,38
18,0,0,0,0,251303,3419500,306,23,38
18,0,0,0,0,215639,3419500,305,26,41
18,0,0,0,0,258603,3419500,306,21,37
18,0,0,0,0,261206,3419500,306,24,40
18,0,0,0,0,279108,3419500,307,22,37
18,0,0,0,0,324149,3419500,308,25,41
18,0,0,0,0,294207,3419500,306,23,38
18,0,0,0,0,330943,3419500,307,23,42
18,0,0,0,0,281944,3419500,307,25,40
18,0,0,0,0,314256,3419500,308,30,49
18,0,0,0,0,278359,3419500,307,23,39
18,0,0,0,0,257095,3419500,307,26,41
18,0,0,0,0,270653,3419500,307,23,38
18,0,0,0,0,222636,3419500,307,23,38
18,0,0,0,0,360805,3419500,307,35,51
18,0,0,0,0,274471,3419500,307,22,38
18,0,0,0,0,256406,3419500,307,26,42
18,0,0,0,0,305568,3419500,307,26,42
18,0,0,0,0,289407,3419500,307,26,41
18,0,0,0,0,229127,3419500,306,24,39
18,0,0,0,0,258836,3419500,306,26,41
18,0,0,0,0,218585,3419500,309,26,42
18,0,0,0,0,244113,3419500,306,25,40
18,0,0,0,0,272031,3419500,306,22,37
18,0,0,0,0,283685,3419500,308,26,42
18,0,0,0,0,288951,3419500,306,22,37
18,0,0,0,0,364004,3419500,306,24,42
18,0,0,0,0,199478,3419500,306,24,39
18,0,0,0,0,267464,3419500,306,24,39
18,0,0,0,0,289630,3419500,306,24,39
18,0,0,0,0,297336,3419500,307,22,38
18,0,0,0,0,304869,3419500,306,24,39
18,0,0,0,0,260051,3419500,306,25,39
18,0,0,0,0,275150,3419500,307,26,41
18,0,0,0,0,266775,3419500,306,24,39
18,0,0,0,0,235901,3419500,307,22,37
18,0,0,0,0,287736,3419500,306,26,41
18,0,0,0,0,309143,3419500,306,24,39
18,0,0,0,0,253966,3419500,307,24,39
18,0,0,0,0,307775,3419500,307,23,38
18,0,0,0,0,260983,3419500,306,26,42
