requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
1,0,0,0,0,528520,3416790,743,55,790
1,0,0,0,0,556032,3416790,705,52,750
1,0,0,0,0,247608,3416790,776,32,801
1,0,0,0,0,315664,3416790,729,33,755
1,0,0,0,0,283808,3416790,750,33,776
1,0,0,0,0,335936,3416790,725,35,752
1,0,0,0,0,301184,3416790,739,34,766
1,0,0,0,0,315664,3416790,720,33,747
1,0,0,0,0,288152,3416790,740,34,767
1,0,0,0,0,335936,3416790,719,35,747
1,0,0,0,0,311320,3416790,746,36,774
1,0,0,0,0,334488,3416790,739,34,767
1,0,0,0,0,264984,3416790,745,31,770
1,0,0,0,0,440192,3416790,831,44,864
1,0,0,0,0,417024,3416790,816,46,853
1,0,0,0,0,340280,3416790,767,35,794
1,0,0,0,0,291048,3416790,746,35,774
1,0,0,0,0,360552,3416790,778,37,809
1,0,0,0,0,263536,3416790,751,33,778
1,0,0,0,0,329924,3416790,740,33,767
1,0,0,0,0,302632,3416790,739,35,767
1,0,0,0,0,317112,3416790,727,33,754
1,0,0,0,0,286704,3416790,760,34,788
1,0,0,0,0,309872,3416790,718,32,744
1,0,0,0,0,298288,3416790,733,35,761
1,0,0,0,0,330144,3416790,748,34,775
1,0,0,0,0,315664,3416790,879,36,908
1,0,0,0,0,372136,3416790,777,37,805
1,0,0,0,0,302632,3416790,734,35,762
1,0,0,0,0,301184,3416790,716,31,741
1,0,0,0,0,298288,3416790,825,34,852
1,0,0,0,0,417024,3416790,719,41,748
1,0,0,0,0,311320,3416790,724,35,753
1,0,0,0,0,335936,3416790,726,35,755
1,0,0,0,0,218648,3416790,742,32,768
1,0,0,0,0,348968,3416790,720,35,748
1,0,0,0,0,322904,3416790,742,37,772
1,0,0,0,0,322904,3416790,711,34,739
1,0,0,0,0,302632,3416790,754,34,781
1,0,0,0,0,320008,3416790,721,34,749
1,0,0,0,0,366344,3416790,750,40,778
1,0,0,0,0,330144,3416790,716,34,744
1,0,0,0,0,280912,3416790,739,32,765
1,0,0,0,0,309872,3416790,728,32,754
1,0,0,0,0,302632,3416790,753,35,782
1,0,0,0,0,334488,3416790,722,34,749
1,0,0,0,0,289600,3416790,741,34,769
1,0,0,0,0,330144,3416790,731,34,758
1,0,0,0,0,308424,3416790,741,35,769
1,0,0,0,0,324132,3416790,706,34,733
