requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
14,0,0,0,0,202840,3419500,308,24,37
14,0,0,0,0,235608,3419500,308,24,37
14,0,0,0,0,236823,3419500,308,24,36
14,0,0,0,0,302519,3419500,309,27,43
14,0,0,0,0,216551,3419500,309,23,36
14,0,0,0,0,206718,3419500,308,23,36
14,0,0,0,0,252295,3419500,306,25,38
14,0,0,0,0,278136,3419500,308,23,38
14,0,0,0,0,210080,3419500,308,24,36
14,0,0,0,0,215336,3419500,308,24,36
14,0,0,0,0,201159,3419500,308,25,37
14,0,0,0,0,276152,3419500,309,28,43
14,0,0,0,0,229360,3419500,307,24,36
14,0,0,0,0,355792,3419500,309,29,47
14,0,0,0,0,198263,3419500,308,22,34
14,0,0,0,0,195367,3419500,308,23,35
14,0,0,0,0,182568,3419500,309,23,36
14,0,0,0,0,198496,3419500,308,23,35
14,0,0,0,0,195600,3419500,308,25,37
14,0,0,0,0,208166,3419500,312,27,43
14,0,0,0,0,222343,3419500,308,25,37
14,0,0,0,0,186679,3419500,309,26,37
14,0,0,0,0,192704,3419500,308,23,36
14,0,0,0,0,195367,3419500,308,23,36
14,0,0,0,0,188127,3419500,308,26,38
14,0,0,0,0,177758,3419500,308,23,35
14,0,0,0,0,232256,3419500,309,27,41
14,0,0,0,0,197960,3419500,309,27,39
14,0,0,0,0,249399,3419500,309,29,43
14,0,0,0,0,242159,3419500,310,25,42
14,0,0,0,0,185231,3419500,308,22,34
14,0,0,0,0,174862,3419500,307,24,35
14,0,0,0,0,249632,3419500,310,27,41
14,0,0,0,0,186679,3419500,309,23,36
14,0,0,0,0,237815,3419500,308,27,40
14,0,0,0,0,202607,3419500,308,24,36
14,0,0,0,0,251070,3419500,308,29,42
14,0,0,0,0,177991,3419500,308,23,36
14,0,0,0,0,325454,3419500,308,35,52
14,0,0,0,0,244599,3419500,308,24,36
14,0,0,0,0,211974,3419500,308,23,35
14,0,0,0,0,215103,3419500,308,24,37
14,0,0,0,0,180421,3419500,308,23,35
14,0,0,0,0,207184,3419500,308,23,35
14,0,0,0,0,225006,3419500,308,22,35
14,0,0,0,0,199944,3419500,307,23,35
14,0,0,0,0,230575,3419500,308,23,35
14,0,0,0,0,190790,3419500,308,24,37
14,0,0,0,0,204511,3419500,308,23,36
14,0,0,0,0,182568,3419500,307,24,36
