requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
6,0,0,0,0,86996,3419496,307,24,31
6,0,0,0,0,104139,3419496,305,24,31
6,0,0,0,0,102458,3419496,304,23,30
6,0,0,0,0,109931,3419496,305,22,30
6,0,0,0,0,105762,3419496,304,23,31
6,0,0,0,0,106802,3419496,304,26,34
6,0,0,0,0,102924,3419496,304,23,30
6,0,0,0,0,89659,3419496,305,24,31
6,0,0,0,0,85082,3419496,305,22,29
6,0,0,0,0,104139,3419496,304,23,31
6,0,0,0,0,113002,3419496,304,24,31
6,0,0,0,0,95393,3419496,305,24,32
6,0,0,0,0,109931,3419496,303,23,30
6,0,0,0,0,107035,3419496,304,23,30
6,0,0,0,0,88444,3419496,306,24,31
6,0,0,0,0,108716,3419496,303,24,31
6,0,0,0,0,118852,3419496,306,23,30
6,0,0,0,0,93712,3419496,304,25,33
6,0,0,0,0,104314,3419496,304,26,33
6,0,0,0,0,102633,3419496,304,24,31
6,0,0,0,0,113060,3419496,304,25,32
6,0,0,0,0,110164,3419496,303,24,31
6,0,0,0,0,114275,3419496,306,23,30
6,0,0,0,0,102866,3419496,305,24,31
6,0,0,0,0,98347,3419496,305,23,30
6,0,0,0,0,111379,3419496,304,24,31
6,0,0,0,0,127249,3419496,304,29,36
6,0,0,0,0,108658,3419496,303,22,29
6,0,0,0,0,119834,3419496,304,23,31
6,0,0,0,0,107035,3419496,304,25,32
6,0,0,0,0,109931,3419496,304,23,31
6,0,0,0,0,116880,3419496,304,24,31
6,0,0,0,0,102924,3419496,304,24,31
6,0,0,0,0,111146,3419496,305,23,30
6,0,0,0,0,96841,3419496,304,23,30
6,0,0,0,0,102458,3419496,305,23,30
6,0,0,0,0,105354,3419496,304,23,30
6,0,0,0,0,95684,3419496,304,22,29
6,0,0,0,0,69620,3419496,307,23,31
6,0,0,0,0,110164,3419496,304,23,31
6,0,0,0,0,124411,3419496,304,22,29
6,0,0,0,0,102691,3419496,304,22,29
6,0,0,0,0,105587,3419496,304,24,32
6,0,0,0,0,85315,3419496,304,23,31
6,0,0,0,0,106802,3419496,304,24,32
6,0,0,0,0,102924,3419496,307,23,30
6,0,0,0,0,124644,3419496,304,23,31
6,0,0,0,0,108658,3419496,304,22,29
6,0,0,0,0,85548,3419496,304,24,31
6,0,0,0,0,108658,3419496,304,23,30
